limit;acc_product;acc_me1;acc_me2;acc_me3;acc_limited
0.5;0.056338028169014086;0.0033407572383073497;0.0033632286995515697;0.0011261261261261261;0.018378378378378378
1;0.15384615384615385;0.14142538975501115;0.13228699551569506;0.13175675675675674;0.04756756756756757
2;0.5460455037919827;0.7060133630289532;0.7096412556053812;0.6554054054054054;0.412972972972973
3;0.1581798483206934;0.08685968819599109;0.10762331838565023;0.13513513513513514;0.24324324324324326
4;0.05417118093174431;0.03229398663697105;0.032511210762331835;0.03490990990990991;0.1254054054054054
5;0.014084507042253521;0.013363028953229399;0.005605381165919282;0.018018018018018018;0.07675675675675675
6;0.01733477789815818;0.01670378619153675;0.008968609865470852;0.02364864864864865;0.07567567567567568
