limit;time_spot;time_product;time_me1;time_me2;time_me3;time_limited
0.01;0.42764578833693306;0.2789046653144016;0.23819742489270387;0.21297297297297296;0.2684782608695652;0.27794561933534745
0.1;0.2526997840172786;0.4462474645030426;0.3551502145922747;0.34594594594594597;0.2684782608695652;0.4662638469284995
1;0.13174946004319654;0.15010141987829614;0.16416309012875535;0.16972972972972972;0.18043478260869567;0.15206445115810674
10;0.07667386609071274;0.0872210953346856;0.11158798283261803;0.11459459459459459;0.12282608695652174;0.07452165156092648
100;0.07991360691144708;0.02636916835699797;0.07725321888412018;0.08648648648648649;0.09456521739130434;0.022155085599194362
1500;0.03131749460043196;0.011156186612576065;0.0536480686695279;0.07027027027027027;0.06521739130434782;0.007049345417925478
1501;0.0;0.0;0.0;0.0;0.0;0.0
