limit;states_product;states_me1;states_me2;states_me3;states_limited
0.01;0.07367280606717226;0.0066815144766146995;0.006726457399103139;0.006756756756756757;0.06702702702702702
0.1;0.10834236186348863;0.036748329621380846;0.0257847533632287;0.02364864864864865;0.14594594594594595
1;0.4962080173347779;0.2973273942093541;0.21973094170403587;0.15315315315315314;0.37513513513513513
1.0;0.05417118093174431;0.08240534521158129;0.0930493273542601;0.20945945945945946;0.03783783783783784
10;0.2275189599133261;0.455456570155902;0.5022421524663677;0.4099099099099099;0.35027027027027025
100;0.03358613217768147;0.09242761692650334;0.09977578475336323;0.1204954954954955;0.022702702702702703
101;0.0065005417118093175;0.028953229398663696;0.052690582959641255;0.07657657657657657;0.001081081081081081
