limit;time_product;time_me1;time_me2;time_me3;time_limited
0.015625;0.06500541711809317;0.0066815144766146995;0.006726457399103139;0.012387387387387387;0.07891891891891892
0.03125;0.04658721560130011;0.008908685968819599;0.005605381165919282;0.0045045045045045045;0.04432432432432432
0.0625;0.03791982665222102;0.01002227171492205;0.010089686098654708;0.006756756756756757;0.034594594594594595
0.25;0.08017334777898158;0.034521158129175944;0.0257847533632287;0.028153153153153154;0.08432432432432432
1;0.23510292524377033;0.11469933184855234;0.05829596412556054;0.1554054054054054;0.23459459459459459
4;0.4301191765980498;0.6158129175946548;0.6199551569506726;0.5045045045045045;0.4345945945945946
16;0.06933911159263272;0.09688195991091314;0.12219730941704036;0.12162162162162163;0.06054054054054054
32;0.016251354279523293;0.035634743875278395;0.04596412556053812;0.039414414414414414;0.016216216216216217
64;0.00866738894907909;0.030066815144766147;0.0257847533632287;0.028153153153153154;0.006486486486486486
65;0.010834236186348862;0.0467706013363029;0.0795964125560538;0.0990990990990991;0.005405405405405406
