aut;old_acc;timeout_spot;memout_spot;states_spot;time_spot;acc_spot;timeout_product;memout_product;states_product;time_product;acc_product
temp_hoas/benchmarkA/automaton1541.hoa;3;False;False;64982;2.27054;8;False;False;13732;0.186573;10
temp_hoas/benchmarkA/automaton49.hoa;11;False;False;2492250;67.0826;25;False;False;555508;5.31895;34
temp_hoas/benchmarkA/automaton1773.hoa;15;False;False;2106;0.033732;14;False;False;1857;0.046826;18
temp_hoas/benchmarkA/automaton141.hoa;3;False;False;2923;0.035541;5;False;False;968;0.019387;9
temp_hoas/benchmarkA/automaton1477.hoa;19;False;False;609178;17.3591;28;False;False;28900;0.281309;28
temp_hoas/benchmarkA/automaton45.hoa;7;False;False;6622;0.107295;9;False;False;3437;0.056299;15
temp_hoas/benchmarkA/automaton701.hoa;3;False;False;297;0.004849;9;False;False;726;0.014349;11
temp_hoas/benchmarkA/automaton1428.hoa;10;False;False;32358;0.836013;6;False;False;2159;0.045767;16
temp_hoas/benchmarkA/automaton1220.hoa;2;False;False;940;0.014609;7;False;False;527;0.012017;11
temp_hoas/benchmarkA/automaton563.hoa;5;False;False;64;0.001939;5;False;False;319;0.013244;14
temp_hoas/benchmarkA/automaton1406.hoa;8;False;False;544;0.009206;8;False;False;401;0.013695;6
temp_hoas/benchmarkA/automaton485.hoa;7;False;False;39139;1.07375;5;False;False;53847;0.543029;31
temp_hoas/benchmarkA/automaton221.hoa;3;False;False;14185;0.242387;9;False;False;7727;0.085657;15
temp_hoas/benchmarkA/automaton1262.hoa;4;False;False;11192;0.279402;8;False;False;3860;0.050082;12
temp_hoas/benchmarkA/automaton15.hoa;17;False;True;-1;-1;-1;False;False;2155958;19.9579;18
temp_hoas/benchmarkA/automaton1138.hoa;20;False;False;2683;0.037327;13;False;False;1639;0.036848;19
temp_hoas/benchmarkA/automaton501.hoa;3;False;False;2747;0.022148;5;False;False;7383;0.074046;8
temp_hoas/benchmarkA/automaton1600.hoa;2;False;False;303;0.00615;6;False;False;232;0.007651;8
temp_hoas/benchmarkA/automaton1592.hoa;14;False;False;75;0.003215;2;False;False;82;0.003805;2
temp_hoas/benchmarkA/automaton950.hoa;12;False;False;123;0.004092;4;False;False;150;0.007819;8
temp_hoas/benchmarkA/automaton757.hoa;19;False;False;2752;0.061012;14;False;False;6686;0.116356;30
temp_hoas/benchmarkA/automaton386.hoa;8;False;False;300856;6.99446;21;False;False;65122;0.779781;25
temp_hoas/benchmarkA/automaton1997.hoa;19;False;True;-1;-1;-1;False;True;-1;-1;-1
temp_hoas/benchmarkA/automaton769.hoa;11;False;False;8730;0.19901;10;False;False;894;0.029744;28
temp_hoas/benchmarkA/automaton519.hoa;21;False;False;2857;0.043531;11;False;False;5251408;990.481;52
temp_hoas/benchmarkA/automaton1643.hoa;5;False;False;142;0.003791;7;False;False;138;0.005393;7
temp_hoas/benchmarkA/automaton35.hoa;17;True;False;-1;-1;-1;False;True;-1;-1;-1
temp_hoas/benchmarkA/automaton737.hoa;19;False;False;305238;5.48131;19;False;False;40590;0.522472;43
temp_hoas/benchmarkA/automaton1681.hoa;3;False;False;3728;0.065307;5;False;False;12539;0.123587;16
temp_hoas/benchmarkA/automaton811.hoa;13;False;False;363;0.007656;8;False;False;362;0.014489;10
temp_hoas/benchmarkA/automaton1421.hoa;3;False;False;780;0.02047;2;False;False;551;0.016167;4
temp_hoas/benchmarkA/automaton261.hoa;3;False;False;1337;0.025808;7;False;False;542;0.015074;11
temp_hoas/benchmarkA/automaton873.hoa;15;False;False;208674;9.72068;10;False;False;72052;0.819033;30
temp_hoas/benchmarkA/automaton1420.hoa;2;False;False;1073;0.013894;5;False;False;731;0.014735;9
temp_hoas/benchmarkA/automaton1866.hoa;8;False;False;16183;0.39102;18;False;False;2281;0.045663;26
temp_hoas/benchmarkA/automaton274.hoa;16;False;False;122370;4.49707;22;False;False;7558;0.104915;34
temp_hoas/benchmarkA/automaton1418.hoa;20;False;False;269;0.0079;10;False;False;250;0.01049;12
temp_hoas/benchmarkA/automaton522.hoa;4;False;False;10397;0.215736;14;False;False;3785;0.056624;16
temp_hoas/benchmarkA/automaton243.hoa;5;False;False;4998;0.091137;5;False;False;747;0.022449;13
temp_hoas/benchmarkA/automaton1115.hoa;17;False;False;37460;1.19254;18;False;False;1714;0.061412;28
temp_hoas/benchmarkA/automaton1601.hoa;3;False;False;13847;0.26605;7;False;False;4013;0.054863;13
temp_hoas/benchmarkA/automaton636.hoa;18;False;False;1181275;40.9602;24;False;False;132489;1.74881;24
temp_hoas/benchmarkA/automaton1872.hoa;14;False;False;347;0.005036;3;False;False;2479;0.035155;8
temp_hoas/benchmarkA/automaton20.hoa;2;False;False;202;0.004796;7;False;False;174;0.00686;5
temp_hoas/benchmarkA/automaton1835.hoa;17;False;False;47304;1.28051;19;False;False;12006;0.142162;25
temp_hoas/benchmarkA/automaton1183.hoa;5;False;False;390;0.009115;4;False;False;327;0.0116;4
temp_hoas/benchmarkA/automaton368.hoa;10;False;False;483;0.010264;9;False;False;5220;0.061707;28
temp_hoas/benchmarkA/automaton1761.hoa;3;False;False;385;0.005884;9;False;False;294;0.008052;9
temp_hoas/benchmarkA/automaton867.hoa;9;False;False;12301;0.307777;7;False;False;59752;0.50692;22
temp_hoas/benchmarkA/automaton1623.hoa;5;False;False;1546;0.020174;8;False;False;1073;0.02254;12
temp_hoas/benchmarkA/automaton1049.hoa;11;False;False;172;0.003743;2;False;False;186;0.005028;2
temp_hoas/benchmarkA/automaton249.hoa;11;False;False;265;0.006469;7;False;False;1094;0.025125;20
temp_hoas/benchmarkA/automaton489.hoa;11;False;False;1718948;69.6711;25;False;False;193761;1.88715;39
temp_hoas/benchmarkA/automaton627.hoa;9;False;False;296;0.007276;8;False;False;269;0.009999;12
temp_hoas/benchmarkA/automaton435.hoa;17;False;False;288744;6.54375;31;False;False;346499;3.48267;50
temp_hoas/benchmarkA/automaton1970.hoa;12;False;False;525;0.011631;10;False;False;286;0.015474;22
temp_hoas/benchmarkA/automaton125.hoa;7;False;False;598;0.010278;10;False;False;297;0.009063;8
