aut;old_acc;timeout_spot;memout_spot;states_spot;time_spot;acc_spot;timeout_product;memout_product;states_product;time_product;acc_product;timeout_product_unoptimiesed;memout_product_unoptimiesed;states_product_unoptimiesed;time_product_unoptimiesed;acc_product_unoptimiesed;timeout_me1;memout_me1;states_me1;time_me1;acc_me1;timeout_me2;memout_me2;states_me2;time_me2;acc_me2;timeout_me3;memout_me3;states_me3;time_me3;acc_me3;timeout_limited;memout_limited;states_limited;time_limited;acc_limited
temp_hoas/benchmarkE/automatonC218.hoa;20;False;False;36425;1.54995;20;False;False;508;0.029112;18;False;False;508;0.030781;22;False;False;8576;0.548052;16;False;False;8449;0.535935;16;False;False;8968;0.351176;16;False;False;365;0.029619;26
temp_hoas/benchmarkE/automatonA128.hoa;10;False;False;623;0.009018;9;False;False;5776;0.091351;30;False;False;5776;0.061648;37;False;False;2920;0.066088;14;False;False;30129;1.313;16;False;False;115979;4.13046;14;False;False;2250;0.064334;36
temp_hoas/benchmarkE/automatonC175.hoa;17;False;False;1539;0.059184;9;False;False;235;0.023087;16;False;False;235;0.018625;18;False;False;5006;0.38761;11;False;False;5637;0.447123;13;False;False;8079;0.449881;16;False;False;259;0.021681;25
temp_hoas/benchmarkE/automatonD241.hoa;3;False;False;1549;0.056491;2;False;False;147;0.017476;2;False;False;838;0.016341;8;False;False;1549;0.05668;2;False;False;1573;0.085347;2;False;False;1549;0.05645;2;False;False;148;0.016521;2
temp_hoas/benchmarkE/automatonC275.hoa;17;False;False;19;0.002913;2;False;False;21;0.004501;4;False;False;21;0.004279;6;False;False;20;0.004235;2;False;False;21;0.004699;4;False;False;19;0.002964;2;False;False;32;0.004455;6
temp_hoas/benchmarkE/automatonD116.hoa;18;False;False;16278;0.422212;17;False;False;15656;0.283587;31;False;False;66445;0.165251;44;False;False;49057;2.98162;22;False;False;271243;19.2513;26;False;False;356602;19.1913;26;False;False;4232;0.113907;48
temp_hoas/benchmarkE/automatonA123.hoa;5;False;False;81;0.005081;2;False;False;26;0.006594;6;False;False;29;0.00619;12;False;False;82;0.00496;2;False;False;81;0.010401;2;False;False;82;0.005444;2;False;False;83;0.006766;15
temp_hoas/benchmarkE/automatonD33.hoa;15;False;False;12094;0.351779;18;False;False;2931;0.045395;28;False;False;3322;0.049405;50;False;False;25295;1.61223;22;False;False;23558;1.52735;22;False;False;20975;0.782039;22;False;False;1601;0.049086;46
temp_hoas/benchmarkE/automatonA156.hoa;18;False;False;383;0.008416;12;False;False;373;0.014842;16;False;False;374;0.012035;22;False;False;265;0.013603;12;False;False;456;0.01692;16;False;False;383;0.008758;12;False;False;501;0.015058;21
temp_hoas/benchmarkE/automatonD198.hoa;20;False;False;4;0.010719;2;False;False;5;0.020545;1;False;False;5096;0.026324;39;False;False;4;0.032502;2;False;False;4;0.031463;2;False;False;4;0.010266;2;False;False;5;0.019233;1
temp_hoas/benchmarkE/automatonC116.hoa;18;False;False;349;0.018143;8;False;False;192;0.017133;9;False;False;270;0.013657;12;False;False;423;0.040281;8;False;False;516;0.038715;8;False;False;1792;0.098191;16;False;False;177;0.01487;17
temp_hoas/benchmarkE/automatonD235.hoa;17;False;False;10711;0.301108;11;False;False;3505;0.12708;27;False;False;33671;0.122187;52;False;False;127162;8.5034;24;False;False;72715;6.18436;18;False;False;85047;5.43347;20;False;False;3312;0.08998;57
temp_hoas/benchmarkE/automatonC182.hoa;4;False;False;51;0.004588;3;False;False;39;0.00678;6;False;False;39;0.00632;7;False;False;32;0.006365;3;False;False;51;0.008425;3;False;False;236;0.011487;6;False;False;73;0.006902;10
temp_hoas/benchmarkE/automatonC77.hoa;19;False;False;122;0.008175;6;False;False;70;0.016913;4;False;False;547;0.017017;18;False;False;1109;0.06239;8;False;False;3006;0.13151;8;False;False;1808;0.080992;10;False;False;250;0.016793;19
temp_hoas/benchmarkE/automatonA105.hoa;7;False;False;124;0.002718;5;False;False;1224;0.031099;21;False;False;1856;0.019889;33;False;False;1475;0.02302;14;False;False;7369;0.19921;26;False;False;20872;0.610027;26;False;False;966;0.024293;32
temp_hoas/benchmarkE/automatonA290.hoa;12;False;False;16789610;609.192;24;False;False;63104;0.863133;20;False;False;63104;0.900954;28;False;False;270324;13.9637;18;False;False;300504;16.9314;20;False;False;278605;8.74872;18;False;False;25101;0.807941;24
temp_hoas/benchmarkE/automatonD140.hoa;2;False;False;1102;0.0232;5;False;False;239;0.016199;9;False;False;1037;0.014557;13;False;False;788;0.018471;9;False;False;1578;0.044106;5;False;False;2220;0.068593;7;False;False;239;0.015502;9
temp_hoas/benchmarkE/automatonD312.hoa;14;False;True;-1;-1;-1;False;False;23567;0.236416;31;False;False;23567;0.215373;33;False;False;209862;12.4155;14;False;False;220028;14.516;16;False;False;450247;16.058;14;False;False;8123;0.219898;36
