aut;old_acc;timeout_spot;memout_spot;states_spot;time_spot;acc_spot;timeout_product;memout_product;states_product;time_product;acc_product;timeout_me1;memout_me1;states_me1;time_me1;acc_me1;timeout_me2;memout_me2;states_me2;time_me2;acc_me2;timeout_me3;memout_me3;states_me3;time_me3;acc_me3;timeout_limited;memout_limited;states_limited;time_limited;acc_limited
temp_hoas/benchmarkG/automaton46.hoa;94;True;False;-1;-1;-1;False;True;-1;-1;-1;True;False;-1;-1;-1;True;False;-1;-1;-1;True;False;-1;-1;-1;False;True;-1;-1;-1
temp_hoas/benchmarkG/automaton16.hoa;34;True;False;-1;-1;-1;False;True;-1;-1;-1;False;True;-1;-1;-1;False;True;-1;-1;-1;False;True;-1;-1;-1;False;True;-1;-1;-1
temp_hoas/benchmarkG/automaton31.hoa;64;True;False;-1;-1;-1;False;True;-1;-1;-1;False;True;-1;-1;-1;False;True;-1;-1;-1;False;True;-1;-1;-1;False;True;-1;-1;-1
temp_hoas/benchmarkG/automaton2.hoa;6;False;False;38804;0.493983;11;False;False;11;0.00261;1;False;False;55;0.00345;1;False;False;55;0.003658;1;False;False;55;0.003465;1;False;False;11;0.002422;1
temp_hoas/benchmarkG/automaton34.hoa;70;True;False;-1;-1;-1;False;True;-1;-1;-1;True;False;-1;-1;-1;True;False;-1;-1;-1;True;False;-1;-1;-1;False;True;-1;-1;-1
temp_hoas/benchmarkG/automaton48.hoa;98;True;False;-1;-1;-1;False;True;-1;-1;-1;True;False;-1;-1;-1;True;False;-1;-1;-1;True;False;-1;-1;-1;False;True;-1;-1;-1
temp_hoas/benchmarkG/automaton47.hoa;96;True;False;-1;-1;-1;False;True;-1;-1;-1;True;False;-1;-1;-1;True;False;-1;-1;-1;True;False;-1;-1;-1;False;True;-1;-1;-1
temp_hoas/benchmarkG/automaton9.hoa;20;False;False;-1;-1;-1;False;False;39;13.2226;1;False;False;295256;2.0332;1;False;False;295256;2.03233;1;False;False;295256;2.0451;1;False;False;39;7.60362;1
temp_hoas/benchmarkG/automaton3.hoa;8;False;True;-1;-1;-1;False;False;15;0.006325;1;False;False;194;0.005291;1;False;False;194;0.005258;1;False;False;194;0.005272;1;False;False;15;0.00496;1
temp_hoas/benchmarkG/automaton43.hoa;88;True;False;-1;-1;-1;False;True;-1;-1;-1;True;False;-1;-1;-1;True;False;-1;-1;-1;True;False;-1;-1;-1;False;True;-1;-1;-1
temp_hoas/benchmarkG/automaton4.hoa;10;False;True;-1;-1;-1;False;False;19;0.017138;1;False;False;681;0.009284;1;False;False;681;0.008749;1;False;False;681;0.00943;1;False;False;19;0.011983;1
temp_hoas/benchmarkG/automaton17.hoa;36;True;False;-1;-1;-1;False;True;-1;-1;-1;False;True;-1;-1;-1;False;True;-1;-1;-1;False;True;-1;-1;-1;False;True;-1;-1;-1
temp_hoas/benchmarkG/automaton13.hoa;28;False;False;-1;-1;-1;False;True;-1;-1;-1;False;False;32417916;271.519;1;False;False;32417916;271.854;1;False;False;32417916;274.938;1;False;True;-1;-1;-1
temp_hoas/benchmarkG/automaton25.hoa;52;True;False;-1;-1;-1;False;True;-1;-1;-1;False;True;-1;-1;-1;False;True;-1;-1;-1;False;True;-1;-1;-1;False;True;-1;-1;-1
temp_hoas/benchmarkG/automaton21.hoa;44;True;False;-1;-1;-1;False;True;-1;-1;-1;False;True;-1;-1;-1;False;True;-1;-1;-1;False;True;-1;-1;-1;False;True;-1;-1;-1
temp_hoas/benchmarkG/automaton38.hoa;78;True;False;-1;-1;-1;False;True;-1;-1;-1;True;False;-1;-1;-1;True;False;-1;-1;-1;True;False;-1;-1;-1;False;True;-1;-1;-1
temp_hoas/benchmarkG/automaton40.hoa;82;True;False;-1;-1;-1;False;True;-1;-1;-1;True;False;-1;-1;-1;True;False;-1;-1;-1;True;False;-1;-1;-1;False;True;-1;-1;-1
