aut;old_acc;timeout_limited;memout_limited;states_limited;time_limited;acc_limited;timeout_product;memout_product;states_product;time_product;acc_product
temp_hoas/benchmarkF/automaton1541.hoa;23;False;False;197294;21.3677;95;False;False;2995;22.0529;10
temp_hoas/benchmarkF/automaton699.hoa;21;False;False;41461;1.99016;56;False;False;11045;2.03802;21
temp_hoas/benchmarkF/automaton1773.hoa;15;False;False;35203;1.63938;35;False;False;2493;1.62438;14
temp_hoas/benchmarkF/automaton141.hoa;23;False;False;11749;0.512376;78;False;False;1254;0.37758;9
temp_hoas/benchmarkF/automaton358.hoa;40;False;False;1376753;192.776;118;True;False;-1;-1;-1
temp_hoas/benchmarkF/automaton45.hoa;7;False;False;450;0.062157;2;False;False;450;0.069627;2
temp_hoas/benchmarkF/automaton701.hoa;23;False;False;16799;1.10729;103;False;False;1177;0.731717;17
temp_hoas/benchmarkF/automaton1428.hoa;30;False;False;44118;3.04826;83;False;False;12876;9.69534;30
temp_hoas/benchmarkF/automaton1220.hoa;22;False;False;10641;0.571513;48;False;False;441;0.45587;9
temp_hoas/benchmarkF/automaton563.hoa;5;False;False;3;0.037483;1;False;False;3;0.038874;1
temp_hoas/benchmarkF/automaton1406.hoa;8;False;False;226;0.102122;2;False;False;226;0.106898;2
temp_hoas/benchmarkF/automaton485.hoa;7;False;False;4086;0.105956;23;False;False;13139;0.147321;20
temp_hoas/benchmarkF/automaton519.hoa;41;False;False;257258;30.6424;123;False;False;63497;847.445;22
temp_hoas/benchmarkF/automaton1439.hoa;41;False;False;926227;119.246;165;False;True;-1;-1;-1
temp_hoas/benchmarkF/automaton1253.hoa;15;False;False;16289;0.867891;93;False;False;898;0.532843;2
temp_hoas/benchmarkF/automaton1138.hoa;20;False;False;18324;1.2148;102;False;False;370;0.550904;2
temp_hoas/benchmarkF/automaton1262.hoa;24;False;False;49183;4.33926;80;False;False;15781;11.5571;32
temp_hoas/benchmarkF/automaton1600.hoa;2;False;False;4645;0.118687;19;False;False;13442;0.140555;17
temp_hoas/benchmarkF/automaton501.hoa;23;False;False;4022;12.8323;13;False;False;4021;14.8188;13
temp_hoas/benchmarkF/automaton1477.hoa;39;False;False;2773805;327.911;127;False;False;79177;300.043;15
temp_hoas/benchmarkF/automaton757.hoa;39;False;False;91;6.21901;2;False;False;91;6.37888;2
temp_hoas/benchmarkF/automaton386.hoa;28;False;False;2547;0.071021;40;False;False;950;0.067861;12
temp_hoas/benchmarkF/automaton331.hoa;13;False;False;37436;1.88643;44;False;False;5224;2.58111;14
temp_hoas/benchmarkF/automaton769.hoa;11;False;False;37805;1.90638;65;False;False;669;1.67173;11
temp_hoas/benchmarkF/automaton613.hoa;15;False;False;342;0.198338;2;False;False;342;0.214544;2
temp_hoas/benchmarkF/automaton1643.hoa;5;False;False;1867;0.063852;33;False;False;453;0.061704;9
temp_hoas/benchmarkF/automaton1432.hoa;34;False;False;1648118;193.288;96;False;False;241157;1119.21;19
temp_hoas/benchmarkF/automaton378.hoa;20;False;False;638105;18.4547;30;False;False;637039;17.8469;15
temp_hoas/benchmarkF/automaton1681.hoa;3;False;False;4;0.010104;1;False;False;4;0.010366;1
temp_hoas/benchmarkF/automaton811.hoa;13;False;False;5;0.229379;1;False;False;5;0.238336;1
temp_hoas/benchmarkF/automaton950.hoa;32;False;False;394719;70.6512;111;False;False;18957;58.7764;19
temp_hoas/benchmarkF/automaton1421.hoa;23;False;False;106357;4.14973;37;False;False;105154;3.77574;17
temp_hoas/benchmarkF/automaton873.hoa;35;False;False;232560;30.8718;115;False;False;8807;49.6132;11
temp_hoas/benchmarkF/automaton1420.hoa;22;False;False;9296;0.585694;98;False;False;785;0.39289;11
temp_hoas/benchmarkF/automaton35.hoa;37;False;False;574181;75.0124;118;True;False;-1;-1;-1
temp_hoas/benchmarkF/automaton737.hoa;19;False;False;764076;47.9357;75;False;False;1113139;103.908;47
temp_hoas/benchmarkF/automaton1418.hoa;20;False;False;22703;1.78627;59;False;False;4487;1.99931;11
temp_hoas/benchmarkF/automaton522.hoa;4;False;False;1842;0.050437;23;False;False;575;0.047891;13
temp_hoas/benchmarkF/automaton243.hoa;5;False;False;68;0.037765;7;False;False;68;0.039051;7
temp_hoas/benchmarkF/automaton261.hoa;23;False;False;59125;3.67515;87;False;False;493291;133.695;66
temp_hoas/benchmarkF/automaton1601.hoa;3;False;False;3;0.029291;1;False;False;3;0.030967;1
temp_hoas/benchmarkF/automaton1866.hoa;28;False;False;199647;25.5764;117;False;False;2097;40.2869;12
temp_hoas/benchmarkF/automaton1115.hoa;37;False;False;214594;27.4936;111;False;False;167157;7.87452;40
temp_hoas/benchmarkF/automaton20.hoa;22;False;False;76348;5.56282;101;False;False;11934;20.0631;16
temp_hoas/benchmarkF/automaton1872.hoa;34;False;False;276186;31.0265;140;False;False;17706;21.8443;19
temp_hoas/benchmarkF/automaton636.hoa;38;False;False;825292;111.642;125;False;False;3419;88.2298;17
temp_hoas/benchmarkF/automaton368.hoa;10;False;False;21062;0.716041;30;False;False;58184;0.843528;28
temp_hoas/benchmarkF/automaton1761.hoa;3;False;False;4;0.012474;1;False;False;4;0.012761;1
temp_hoas/benchmarkF/automaton867.hoa;29;False;False;22068;1.62797;115;False;False;9691;1.95391;27
temp_hoas/benchmarkF/automaton1183.hoa;25;False;False;14093;65.8981;18;False;False;14093;87.5063;18
temp_hoas/benchmarkF/automaton1049.hoa;11;False;False;5574;0.307723;47;False;False;631;0.241982;12
temp_hoas/benchmarkF/automaton249.hoa;11;False;False;335;3.57173;15;False;False;335;3.87813;15
temp_hoas/benchmarkF/automaton489.hoa;11;False;False;1484;0.058902;39;False;False;416;0.063516;10
temp_hoas/benchmarkF/automaton627.hoa;29;False;False;20836;1.05333;56;False;False;259860;2.51264;44
temp_hoas/benchmarkF/automaton435.hoa;37;False;False;372165;66.6786;122;False;False;1334;42.1995;12
temp_hoas/benchmarkF/automaton1623.hoa;25;False;False;277502;169.251;135;False;False;1180;13.9758;12
temp_hoas/benchmarkF/automaton125.hoa;7;False;False;64786;3.42107;28;False;False;353880;4.94872;26
temp_hoas/benchmarkF/automaton1521.hoa;3;False;False;634;0.01901;13;False;False;377;0.018594;9
temp_hoas/benchmarkF/automaton1720.hoa;2;False;False;330;0.011433;22;False;False;207;0.011257;9
temp_hoas/benchmarkF/automaton1672.hoa;34;False;False;8500;0.459048;52;False;False;319106;2.80968;42
temp_hoas/benchmarkF/automaton417.hoa;19;False;False;5279;0.222207;55;False;False;325;0.140927;11
temp_hoas/benchmarkF/automaton107.hoa;29;False;False;131191;11.84;113;False;False;824;6.91175;10
temp_hoas/benchmarkF/automaton291.hoa;13;False;False;457;4.54897;13;False;False;456;4.77705;13
temp_hoas/benchmarkF/automaton960.hoa;2;False;False;165;0.020135;11;False;False;165;0.021096;11
temp_hoas/benchmarkF/automaton1705.hoa;27;False;False;15087;1.12162;114;False;False;626;0.736321;7
temp_hoas/benchmarkF/automaton1970.hoa;12;False;False;75323;89.7819;12;False;False;75323;99.379;12
temp_hoas/benchmarkF/automaton715.hoa;37;False;False;1238843;70.7951;80;False;False;3983910;66.534;56
temp_hoas/benchmarkF/automaton1146.hoa;28;False;False;38809;3.518;86;False;False;620728;53.8673;54
temp_hoas/benchmarkF/automaton151.hoa;33;False;True;-1;-1;-1;True;False;-1;-1;-1
temp_hoas/benchmarkF/automaton1435.hoa;37;False;False;1681875;202.877;139;False;False;1287;134.792;12
temp_hoas/benchmarkF/automaton1875.hoa;37;False;False;297416;35.7626;70;False;False;34505;105.728;13
temp_hoas/benchmarkF/automaton1592.hoa;34;False;False;221117;25.9703;154;True;False;-1;-1;-1
temp_hoas/benchmarkF/automaton1660.hoa;22;False;False;362948;44.1516;68;False;False;47528132;536.103;53
temp_hoas/benchmarkF/automaton1202.hoa;4;False;False;2849;0.071364;21;False;False;6141;0.08216;19
temp_hoas/benchmarkF/automaton1280.hoa;2;False;False;963;0.022998;26;False;False;513;0.022776;13
temp_hoas/benchmarkF/automaton299.hoa;21;False;False;80484;10.1658;74;False;False;2480;7.04787;16
temp_hoas/benchmarkF/automaton1238.hoa;40;False;False;158398;24.3782;144;False;False;600;8.81213;10
temp_hoas/benchmarkF/automaton235.hoa;37;False;False;132282;17.4514;156;False;False;3266;12.7358;14
temp_hoas/benchmarkF/automaton1260.hoa;22;False;False;14126;1.0937;95;False;False;754;0.641216;10
temp_hoas/benchmarkF/automaton643.hoa;5;False;False;806;0.10765;11;False;False;806;0.117845;11
temp_hoas/benchmarkF/automaton1172.hoa;14;False;False;581;0.019327;20;False;False;1235;0.019689;18
temp_hoas/benchmarkF/automaton274.hoa;36;False;False;106272;9.32362;95;True;False;-1;-1;-1
temp_hoas/benchmarkF/automaton1835.hoa;37;False;False;269945;19.2126;102;True;False;-1;-1;-1
temp_hoas/benchmarkF/automaton1394.hoa;36;False;False;138361;12.1027;84;False;False;6365525;77.9214;65
temp_hoas/benchmarkF/automaton221.hoa;23;False;True;-1;-1;-1;True;False;-1;-1;-1
temp_hoas/benchmarkF/automaton1897.hoa;19;False;False;6116;0.235407;39;False;False;88465;0.571885;34
temp_hoas/benchmarkF/automaton526.hoa;8;False;False;26173;1.4378;35;False;False;8185;1.49762;16
temp_hoas/benchmarkF/automaton1510.hoa;32;False;False;271220;28.926;118;False;False;88414;588.849;16
temp_hoas/benchmarkF/automaton1858.hoa;20;False;False;1999;0.070157;33;False;False;7961;0.08558;30
temp_hoas/benchmarkF/automaton480.hoa;2;False;False;248;0.020359;2;False;False;248;0.021387;2
temp_hoas/benchmarkF/automaton1587.hoa;29;False;False;62421;4.19236;105;False;False;46615;2.867;9
temp_hoas/benchmarkF/automaton1919.hoa;41;False;False;477722;53.9176;154;False;False;894;21.3866;12
temp_hoas/benchmarkF/automaton779.hoa;21;False;False;1154;11.9783;13;False;False;1154;14.6606;13
temp_hoas/benchmarkF/automaton593.hoa;35;False;False;45407;4.09941;116;False;False;2151;2.79203;9
temp_hoas/benchmarkF/automaton1878.hoa;40;False;False;63410;3.93708;102;False;False;5052;3.49698;32
temp_hoas/benchmarkF/automaton204.hoa;6;False;False;149;0.060889;7;False;False;149;0.064905;7
temp_hoas/benchmarkF/automaton985.hoa;27;False;False;4904;0.148466;52;False;False;16682;0.160972;43
temp_hoas/benchmarkF/automaton23.hoa;25;False;False;11111;0.701749;83;False;False;225;0.367032;2
temp_hoas/benchmarkF/automaton554.hoa;36;False;False;62802;8.44683;147;False;False;1463227;228.379;57
temp_hoas/benchmarkF/automaton1548.hoa;30;False;False;118639;4.58055;37;False;False;5885;5.63027;24
